"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0031909","CG5181","bam RNAi",37.7672075465966,0.0772720220747136
"FBgn0031909","CG5181","bam RNAi; HS-bam",47.8710450351448,0.411415157299208
"FBgn0031909","CG5181","Young WT",34.2994605404162,-0.0579186616599905
"FBgn0032368","spag4","UAS-tkv",0,0
"FBgn0032368","spag4","bam RNAi",0,0
"FBgn0032368","spag4","bam RNAi; HS-bam",0,0
"FBgn0032368","spag4","Young WT",0,0
"FBgn0032677","CG5790","UAS-tkv",0,0
"FBgn0032677","CG5790","bam RNAi",0,0
"FBgn0032677","CG5790","bam RNAi; HS-bam",0,0
"FBgn0032677","CG5790","Young WT",0,0
"FBgn0032906","RPA2","UAS-tkv",208.790520428366,0
"FBgn0032906","RPA2","bam RNAi",215.299081018074,0.0440780458609301
"FBgn0032906","RPA2","bam RNAi; HS-bam",128.066100269234,-0.700839369186461
"FBgn0032906","RPA2","Young WT",166.033500679831,-0.328812007481277
"FBgn0033549","mms4","UAS-tkv",28.9588622074603,0
"FBgn0033549","mms4","bam RNAi",22.1727142620808,-0.370555793859729
"FBgn0033549","mms4","bam RNAi; HS-bam",14.8506748907067,-0.91843856464572
"FBgn0033549","mms4","Young WT",20.8512996344787,-0.455263745006219
"FBgn0034728","rad50","UAS-tkv",35.5080273461355,0
"FBgn0034728","rad50","bam RNAi",50.7685211219812,0.503861388011971
"FBgn0034728","rad50","bam RNAi; HS-bam",60.2835926777025,0.747287158901983
"FBgn0034728","rad50","Young WT",37.4857755428032,0.0761116028222489
"FBgn0034908","CG5543","UAS-tkv",23.9870198291801,0
"FBgn0034908","CG5543","bam RNAi",24.7337979447331,0.0424855509361262
"FBgn0034908","CG5543","bam RNAi; HS-bam",14.0287951616921,-0.733449488271532
"FBgn0034908","CG5543","Young WT",18.6811592242629,-0.344363645029602
"FBgn0035150","Rev1","UAS-tkv",25.4926878103393,0
"FBgn0035150","Rev1","bam RNAi",34.9784031529114,0.441536936700192
"FBgn0035150","Rev1","bam RNAi; HS-bam",30.7973182763594,0.263310877092264
"FBgn0035150","Rev1","Young WT",20.584279749,-0.295613267503282
"FBgn0035996","CG3448","UAS-tkv",15.9130171261547,0
"FBgn0035996","CG3448","bam RNAi",19.4384221278735,0.273149776500464
"FBgn0035996","CG3448","bam RNAi; HS-bam",14.0101130117261,-0.172199207079332
"FBgn0035996","CG3448","Young WT",14.9150368392326,-0.0877435497389595
"FBgn0036126","Irbp18","UAS-tkv",36.1549624303914,0
"FBgn0036126","Irbp18","bam RNAi",64.7022092290053,0.82238697130234
"FBgn0036126","Irbp18","bam RNAi; HS-bam",48.1834600897789,0.404618322568212
"FBgn0036126","Irbp18","Young WT",37.3744191041083,0.0465900012237577
"FBgn0036730","qjt","UAS-tkv",46.187003889224,0
"FBgn0036730","qjt","bam RNAi",54.9777252588847,0.246463290647792
"FBgn0036730","qjt","bam RNAi; HS-bam",22.3306066630947,-1.01616574927444
"FBgn0036730","qjt","Young WT",1.534688666838,-4.21850911282031
"FBgn0037141","DNApol-eta","UAS-tkv",20.0834231387907,0
"FBgn0037141","DNApol-eta","bam RNAi",19.2726237435675,-0.0565763055069839
"FBgn0037141","DNApol-eta","bam RNAi; HS-bam",21.0855622057222,0.0669944335057639
"FBgn0037141","DNApol-eta","Young WT",38.3828282249545,0.901457595867352
"FBgn0037263","slx1","UAS-tkv",15.2246579004642,0
"FBgn0037263","slx1","bam RNAi",16.5685609499169,0.114807965188084
"FBgn0037263","slx1","bam RNAi; HS-bam",9.45645193828722,-0.633794656773981
"FBgn0037263","slx1","Young WT",10.3247173347434,-0.518713018073906
"FBgn0037301","Mms19","UAS-tkv",38.7812707078872,0
"FBgn0037301","Mms19","bam RNAi",38.6530989396057,-0.00465574123090085
"FBgn0037301","Mms19","bam RNAi; HS-bam",25.288916868606,-0.597634657392806
"FBgn0037301","Mms19","Young WT",30.7290184510282,-0.326286468361038
"FBgn0037338","Snm1","UAS-tkv",22.8979377440597,0
"FBgn0037338","Snm1","bam RNAi",26.7113392519759,0.213590308815856
"FBgn0037338","Snm1","bam RNAi; HS-bam",20.0705291210163,-0.181659583787344
"FBgn0037338","Snm1","Young WT",29.0037047027824,0.32825452105527
"FBgn0037384","dgrn","UAS-tkv",48.8097804809977,0
"FBgn0037384","dgrn","bam RNAi",48.89209757102,0.00238227176580001
"FBgn0037384","dgrn","bam RNAi; HS-bam",61.2790749105704,0.322318462019415
"FBgn0037384","dgrn","Young WT",66.7352984138784,0.443478798304602
"FBgn0037874","Tctp","UAS-tkv",1684.38114217211,0
"FBgn0037874","Tctp","bam RNAi",1706.99032921813,0.0192249183339618
"FBgn0037874","Tctp","bam RNAi; HS-bam",2003.92477188499,0.250473217386706
"FBgn0037874","Tctp","Young WT",2225.41713242408,0.401649027467215
"FBgn0037897","CG5270","UAS-tkv",8.23349403553377,0
"FBgn0037897","CG5270","bam RNAi",7.92046548604289,-0.0497576851600247
"FBgn0037897","CG5270","bam RNAi; HS-bam",10.4503870301189,0.310447778303139
"FBgn0037897","CG5270","Young WT",10.9835113401437,0.376102115521857
"FBgn0038576","Arp5","UAS-tkv",26.5669401278855,0
"FBgn0038576","Arp5","bam RNAi",27.9270947866807,0.0694822972955738
"FBgn0038576","Arp5","bam RNAi; HS-bam",30.5334270774209,0.193942831629828
"FBgn0038576","Arp5","Young WT",27.5556648126103,0.0508378326484353
"FBgn0038704","CG5316","UAS-tkv",28.2851695471278,0
"FBgn0038704","CG5316","bam RNAi",46.0645358985696,0.684470121664242
"FBgn0038704","CG5316","bam RNAi; HS-bam",45.4939276835726,0.666872059065795
"FBgn0038704","CG5316","Young WT",44.2349711186791,0.627268303353795
"FBgn0038767","trem","UAS-tkv",27.8245038070741,0
"FBgn0038767","trem","bam RNAi",28.769816937883,0.0465545769652448
"FBgn0038767","trem","bam RNAi; HS-bam",29.5576604318174,0.0842383182478765
"FBgn0038767","trem","Young WT",26.8002610720457,-0.0521973417912596
"FBgn0038889","Fancm","UAS-tkv",8.96466038437768,0
"FBgn0038889","Fancm","bam RNAi",10.4905962591869,0.205561121824474
"FBgn0038889","Fancm","bam RNAi; HS-bam",15.0684650547354,0.689339580616893
"FBgn0038889","Fancm","Young WT",12.2989992312008,0.416425143863746
"FBgn0039065","Rad60","UAS-tkv",30.1496947664003,0
"FBgn0039065","Rad60","bam RNAi",35.4212309841233,0.225561657658129
"FBgn0039065","Rad60","bam RNAi; HS-bam",39.8833182860174,0.392294270616002
"FBgn0039065","Rad60","Young WT",50.8557745009572,0.735286625651119
"FBgn0039403","Sld5","UAS-tkv",42.6455960861522,0
"FBgn0039403","Sld5","bam RNAi",43.1777755527738,0.0174846868351883
"FBgn0039403","Sld5","bam RNAi; HS-bam",36.2765392009586,-0.22756816619429
"FBgn0039403","Sld5","Young WT",56.0679902630386,0.386845666337369
"FBgn0039858","CycG","UAS-tkv",153.117169312993,0
"FBgn0039858","CycG","bam RNAi",183.926114950533,0.262921380847059
"FBgn0039858","CycG","bam RNAi; HS-bam",419.212500446823,1.44709148660758
"FBgn0039858","CycG","Young WT",201.026664184928,0.390518124260517
"FBgn0040268","Top3alpha","UAS-tkv",29.448762424637,0
"FBgn0040268","Top3alpha","bam RNAi",31.1659553928593,0.0791509485590763
"FBgn0040268","Top3alpha","bam RNAi; HS-bam",28.025338863776,-0.069070681371287
"FBgn0040268","Top3alpha","Young WT",37.705549511066,0.346156839762701
"FBgn0040290","RecQ4","UAS-tkv",21.8850384942975,0
"FBgn0040290","RecQ4","bam RNAi",18.4835195833388,-0.232150403313489
"FBgn0040290","RecQ4","bam RNAi; HS-bam",28.4051183009021,0.361662576016876
"FBgn0040290","RecQ4","Young WT",31.1414538469965,0.490030468923719
"FBgn0040347","mus81","UAS-tkv",16.6507541790734,0
"FBgn0040347","mus81","bam RNAi",9.18608132064522,-0.793130687935846
"FBgn0040347","mus81","bam RNAi; HS-bam",17.797671831787,0.0908241612159504
"FBgn0040347","mus81","Young WT",29.8771013438147,0.80680749467977
"FBgn0041627","Ku80","UAS-tkv",23.8332126096031,0
"FBgn0041627","Ku80","bam RNAi",28.6925757619698,0.257831337817337
"FBgn0041627","Ku80","bam RNAi; HS-bam",20.0615262246415,-0.237660926252915
"FBgn0041627","Ku80","Young WT",22.9558180377036,-0.0518948322529058
"FBgn0045035","tefu","UAS-tkv",11.3794400676427,0
"FBgn0045035","tefu","bam RNAi",14.1547849890498,0.291827322066637
"FBgn0045035","tefu","bam RNAi; HS-bam",20.1198799438973,0.770655571976994
"FBgn0045035","tefu","Young WT",7.9711057884584,-0.464588332322789
"FBgn0050169","Brca2","UAS-tkv",16.5713417773593,0
"FBgn0050169","Brca2","bam RNAi",16.8582962998151,0.0233700902202234
"FBgn0050169","Brca2","bam RNAi; HS-bam",22.027500963403,0.390133490399304
"FBgn0050169","Brca2","Young WT",17.4936590142072,0.0738063314271324
"FBgn0051989","Cap-D3","UAS-tkv",7.93529678851075,0
"FBgn0051989","Cap-D3","bam RNAi",10.7008363809055,0.38902410325214
"FBgn0051989","Cap-D3","bam RNAi; HS-bam",9.75620628678129,0.267581774449895
"FBgn0051989","Cap-D3","Young WT",10.3032425484559,0.339149141599943
"FBgn0052438","SMC5","UAS-tkv",42.2222723228065,0
"FBgn0052438","SMC5","bam RNAi",51.296462684539,0.274938445415991
"FBgn0052438","SMC5","bam RNAi; HS-bam",62.6701703926845,0.558842704194754
"FBgn0052438","SMC5","Young WT",35.6810616911877,-0.236739524252602
"FBgn0052756","CG32756","UAS-tkv",18.4837690460662,0
"FBgn0052756","CG32756","bam RNAi",27.0890931034316,0.527737258563427
"FBgn0052756","CG32756","bam RNAi; HS-bam",31.3451238919871,0.731275451559079
"FBgn0052756","CG32756","Young WT",15.6577363740313,-0.226080421519741
"FBgn0259195","CG42299","UAS-tkv",5.80323067322798,0
"FBgn0259195","CG42299","bam RNAi",9.80258773638105,0.667085036563211
"FBgn0259195","CG42299","bam RNAi; HS-bam",5.35817812995095,-0.0976065711576237
"FBgn0259195","CG42299","Young WT",0.638582628162738,-2.05377158163851
"FBgn0259196","CG42300","UAS-tkv",7.13196194227605,0
"FBgn0259196","CG42300","bam RNAi",22.0375797465014,1.50231379140061
"FBgn0259196","CG42300","bam RNAi; HS-bam",4.71567346149715,-0.508679966264614
"FBgn0259196","CG42300","Young WT",0.0553263171499603,-2.94591430012256
"FBgn0260817","gkt","UAS-tkv",25.4266679876203,0
"FBgn0260817","gkt","bam RNAi",21.9902193780501,-0.200974301262002
"FBgn0260817","gkt","bam RNAi; HS-bam",17.0410881879827,-0.550708173369508
"FBgn0260817","gkt","Young WT",17.2667082900385,-0.532777854056794
"FBgn0260987","vtd","UAS-tkv",93.0375956277964,0
"FBgn0260987","vtd","bam RNAi",126.004001039613,0.433564389847721
"FBgn0260987","vtd","bam RNAi; HS-bam",110.669308738242,0.247923171646713
"FBgn0260987","vtd","Young WT",82.5309720430008,-0.170926425681691
"FBgn0261113","Xrp1","UAS-tkv",45.1134931844109,0
"FBgn0261113","Xrp1","bam RNAi",77.9124368972525,0.77506373555995
"FBgn0261113","Xrp1","bam RNAi; HS-bam",92.4597866141364,1.01915678649858
"FBgn0261113","Xrp1","Young WT",31.4097808600554,-0.508759690917764
"FBgn0261530","nbs","UAS-tkv",34.5772868678003,0
"FBgn0261530","nbs","bam RNAi",31.9602091755478,-0.110231096206162
"FBgn0261530","nbs","bam RNAi; HS-bam",55.6272468710048,0.670539895393763
"FBgn0261530","nbs","Young WT",36.7532068053985,0.0856426994546352
"FBgn0261976","Psf2","UAS-tkv",37.0661442917638,0
"FBgn0261976","Psf2","bam RNAi",41.3302717905252,0.15318130466054
"FBgn0261976","Psf2","bam RNAi; HS-bam",37.8322181079778,0.0287456696183968
"FBgn0261976","Psf2","Young WT",27.9198986599354,-0.396445950298273
"FBgn0262647","Nup160","UAS-tkv",53.7267057191157,0
"FBgn0262647","Nup160","bam RNAi",55.3626683115948,0.0424948971299228
"FBgn0262647","Nup160","bam RNAi; HS-bam",38.8663016193788,-0.457075242641433
"FBgn0262647","Nup160","Young WT",51.963492542831,-0.047246755813217
"FBgn0263831","Gen","UAS-tkv",20.243052680852,0
"FBgn0263831","Gen","bam RNAi",18.695937555029,-0.109093007045875
"FBgn0263831","Gen","bam RNAi; HS-bam",12.6013098241272,-0.643245508390137
"FBgn0263831","Gen","Young WT",14.9132570064639,-0.416761954071519
"FBgn0265003","koi","UAS-tkv",37.4442738855884,0
"FBgn0265003","koi","bam RNAi",38.6860179526049,0.045862080537998
"FBgn0265003","koi","bam RNAi; HS-bam",58.0741829599019,0.61975904001316
"FBgn0265003","koi","Young WT",42.964211169298,0.1935608525584
"FBgn0266282","jnj","UAS-tkv",37.7622448567157,0
"FBgn0266282","jnj","bam RNAi",33.8182110137741,-0.154810046548936
"FBgn0266282","jnj","bam RNAi; HS-bam",44.6083026022374,0.234644353945827
"FBgn0266282","jnj","Young WT",24.5980966358752,-0.598615583042416
"FBgn0266421","RPA3","UAS-tkv",168.562098770542,0
"FBgn0266421","RPA3","bam RNAi",161.539765330871,-0.0610210122438444
"FBgn0266421","RPA3","bam RNAi; HS-bam",155.507463360318,-0.115582272212776
"FBgn0266421","RPA3","Young WT",136.010321428628,-0.307529148565291
"FBgn0266666","Sem1","UAS-tkv",371.908948619287,0
"FBgn0266666","Sem1","bam RNAi",454.83743062224,0.289695977305309
"FBgn0266666","Sem1","bam RNAi; HS-bam",458.400586475491,0.300929280893364
"FBgn0266666","Sem1","Young WT",632.619077514065,0.76479235631408
"FBgn0267967","corolla","UAS-tkv",35.8449790468449,0
"FBgn0267967","corolla","bam RNAi",66.4549541634634,0.872456371176789
"FBgn0267967","corolla","bam RNAi; HS-bam",71.2330587257923,0.971191229710823
"FBgn0267967","corolla","Young WT",8.18134154324088,-2.00469115787096
"FBgn0283467","Pol32","UAS-tkv",43.4020317822189,0
"FBgn0283467","Pol32","bam RNAi",23.4383373080527,-0.861479561044817
"FBgn0283467","Pol32","bam RNAi; HS-bam",57.9810597101656,0.409626049440515
"FBgn0283467","Pol32","Young WT",51.4841747520301,0.241256786871304
